Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Fortitude,2015,18+,7.4,73,"Crime,Drama","Fortitude is a place like nowhere else. Although surrounded by the savage beauty of the Arctic landscape, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now. In such a close-knit community a murder touches everyone and the unsettling, mysterious horror of this crime threatens the future of the town itself.Fortitude featuring Richard Dormer and Sienna Guillory has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 26 episodes over 3 seasons. Fortitude is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (19,213 votes) and was well received by critics.",3Seasons,Prime Video
ZeroZeroZero,2020,18+,8.2,73,"Crime,Drama","Based on the book of the same name by bestselling author Roberto Saviano, ZeroZeroZero is an unforgettable exploration of the inner workings of the global cocaine trade.ZeroZeroZero featuring Andrea Riseborough and Dane DeHaan has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 8 episodes over 1 season. ZeroZeroZero is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (10,086 votes) and was very well received by critics.",1 Season,Prime Video
Hunters,2020,18+,7.2,73,"Drama,Action & Adventure","A diverse band of Nazi Hunters living in 1977 New York City discover that hundreds of high ranking Nazi officials are living among us and conspiring to create a Fourth Reich in the U.S. The eclectic team of Hunters set out on a bloody quest to bring the Nazis to justice and thwart their new genocidal plans.Hunters featuring Logan Lerman and Al Pacino has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and crime show with 10 episodes over 1 season. Hunters is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (26,973 votes) and was met with mixed reviews by critics.",1Season,Prime Video
The Bureau,2015,16+,8.7,73,"Drama,2015","Within the DGSE (General Directorate for External Security), a department called the Office Of Legends (BDL) forms and remote pilot the most important agents of the French intelligence services: Clandestine. Immersion in hostile country, their mission is to identify individuals who may be recruited as sources of information. Operating ""under caption"", that is to say in a fabricated identity from scratch, they live for many years in a permanent duplicity. Our hero just returned from a clandestine mission six years in Damascus. But contrary to what is required by safety rules, he does not abandon his legend and the identity under which he lived in Syria, thus putting in danger the whole system.The Bureau featuring Mathieu Kassovitz and Sara Giraudeau has one or more episodes streaming with subscription on Prime Video, streaming on Sundance Now, available for purchase on iTunes, and 3 others. It's a drama show with 51 episodes over 5 seasons. The Bureau is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (6,683 votes).",5Seasons,Prime Video
Victoria,2016,16+,8.2,73,"Drama,Biography","The story of Queen Victoria, who came to the throne at a time of great economic turbulence and resurgent republicanism ? and died 64 years later the head of the largest empire the world had ever seen, having revitalised the throne?s public image and become ?grandmother of Europe?.Victoria featuring Jenna Coleman and Tom Hughes has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a biography and drama show with 25 episodes over 3 seasons. Victoria is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (21,354 votes) and was well received by critics.",3 Seasons,Prime Video
The Tunnel,2013,18+,7.9,73,"Crime,Drama","The plot follows detectives Karl Roebuck and Elise Wasserman working together to find a serial killer who left the upper-half body of a French politician and the lower-half of a British prostitute in the Channel Tunnel, at the midpoint between France and the UK. They later learn that the killer?who comes to be nicknamed the ""Truth Terrorist""?is on a moral crusade to highlight many social problems, terrorising both countries in the processThe Tunnel featuring Stephen Dillane and ClÇmence PoÇsy has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and crime show with 24 episodes over 3 seasons. The Tunnel is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (7,248 votes) and was very well received by critics.",3Seasons,Prime Video
Harper's Island,2009,16+,7.5,72,"Drama,Horror","A group of family and friends travels to a secluded island for a destination wedding. They've come to laugh... to love... and, though they don't know it... to die. As the wedding festivities begin, friendships are tested and secrets exposed as a murderer claims victims, one by one, transforming the wedding week of fun and celebration into a terrifying struggle for survival.Harper's Island featuring Elaine Cassidy and Christopher Gorham has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's a drama and horror show with 13 episodes over 1 season. Harper's Island is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (25,022 votes) and was met with mixed reviews by critics.",1 Season,Prime Video
Absentia,2017,18+,7.3,72,"Crime,Drama","A missing FBI agent reappears six years after being declared dead.Absentia featuring Stana Katic and Patrick Heusinger has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a crime and drama show with 30 episodes over 3 seasons. Absentia is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (11,325 votes).",3Seasons,Prime Video
Banana Fish,2018,N/A,7.9,72,"Action & Adventure,Anime","Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands?and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...(Source: Viz)Banana Fish featuring Yuuma Uchida and Kenji Nojima has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 24 episodes over 1 season. Banana Fish is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (1,302 votes).",1Season,Prime Video
Philip K. Dick's Electric Dreams,2017,18+,7.3,72,"Science-Fiction,Drama","A diverse anthology of ambitious, moving tales inspired by Philip K Dick's short stories.Philip K. Dick's Electric Dreams has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a drama and fantasy show with 10 episodes over 1 season. Philip K. Dick's Electric Dreams is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (12,714 votes) and was well received by critics.",1Season,Prime Video
"Magnum, P.I.",1980,7+,7.5,72,"Action & Adventure,Drama","Magnum, P.I. is an American television series starring Tom Selleck as Thomas Magnum, a private investigator living on Oahu, Hawaii. The series ran from 1980 to 1988 in first-run broadcast on the American CBS television network. According to the Nielsen ratings, Magnum, P.I. consistently ranked in the top twenty U.S. television programs during the first five years that the series was originally broadcast in the United States. Originally appearing in a prime time American network timeslot of 8 p.m. Eastern on Thursdays, Magnum, P.I. was one of the highest-rated shows on U.S. television.Magnum, P.I. featuring Tom Selleck and John Hillerman has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and crime show with 162 episodes over 8 seasons. Magnum, P.I. is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (21,692 votes).",8Seasons,Prime Video
Vinland Saga,2019,N/A,8.8,71,"Animation,Anime","For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.Vinland Saga featuring Shizuka Ishigami and Yuuto Uemura has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 24 episodes over 1 season. Vinland Saga is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (9,403 votes).",1Season,Prime Video
Undercover,2011,7+,8.9,71,"Drama,Thriller","Just an ordinary boy from the Sofia suburbs becomes the first bulgarian undercover cop. Forced by his father when he was young to lie and cheat, Martin becomes the perfect liar. That skill, and also theˇhatredˇof the 'underworld' makes him the perfect match for a dangerous mission - to infiltrate the crime organisation of a rich and powerful businessman. While infiltrating and living in fear of being uncovered, Martin falls in love with the most inappropriate woman - Djaro's girlfriend, Suni. Just when he gains the trust of the mobsters, it appears that the real enemy is in the police. Martin is alone against all, facing difficult decisions.Undercover featuring Boyko Krastanov and Zahary Baharov has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and crime show with 60 episodes over 5 seasons. Undercover is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (26,086 votes).",5Seasons,Prime Video
All or Nothing: Manchester City,2018,all,8.3,71,"Sport,Documentary","Legendary coach Pep Guardiola leads his Manchester City team through the 2017/18 season.All or Nothing: Manchester City featuring Mikel Arteta and Vincent Kompany has one or more episodes streaming with subscription on Prime Video. It's a documentary and sport show with 8 episodes over 1 season. All or Nothing: Manchester City is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (4,552 votes).",1Season,Prime Video
Ordeal by Innocence,2018,N/A,7.3,70,"Drama,Mystery","The black sheep of the Argyll family, Jack Argyll, was accused of murdering their matriarch a year ago, but now a man shows up on their doorstep claiming Jack?s innocence. The family must come to terms with this news and the fact that the real killer might still be among them.Ordeal by Innocence featuring Bill Nighy and Anthony Boyle has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 4 episodes over 1 season. Ordeal by Innocence is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (7,105 votes) and was very well received by critics.",1 Season,Prime Video
Thirteen,2016,18+,7.3,70,"Drama,Crime","Today is the day Ivy Moxham will escape from the cellar that's been her prison for the last 13 years. Today is the day she'll return to her home, to her family, to her life. Today is only the beginning. Thirteen explores how to pick up the threads of a life half-lived and how to survive as a family under the greatest pressure: how to feel again, chance love again. It is a psychological drama about who to trust when you can't even trust yourself. Ivy Moxham is a young girl. Ivy Moxham is a woman. Ivy Moxham is whoever you want her to be.Thirteen featuring Jodie Comer and Natasha Little has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's a crime and drama show with 5 episodes over 1 season. Thirteen is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (6,843 votes) and was well received by critics.",1Season,Prime Video
